metric,unit,direction,mx_v0_vs_u5_v0_raw_pct,mx_v0_vs_u5_v0_improvement_pct,mx_v1_vs_u5_v1_raw_pct,mx_v1_vs_u5_v1_improvement_pct,mx_v1_vs_u5_v2_raw_pct,mx_v1_vs_u5_v2_improvement_pct
CNN latency avg,ms,lower,-99.53444892224837,99.53444892224837,-99.01575784536679,99.01575784536679,-98.88112612746298,98.88112612746298
Cycles avg,cycles,lower,-99.88629798819503,99.88629798819503,-99.75958176052184,99.75958176052184,-99.72669542619646,99.72669542619646
Throughput,inf/s,higher,21379.920201871235,21379.920201871235,10060.101305279566,10060.101305279566,8837.55788337904,8837.55788337904
End-to-end lower bound,ms,lower,-27.82021049645219,27.82021049645219,-14.369901583907469,14.369901583907469,-12.84797673931751,12.84797673931751
Text,B,lower,-47.36457390696878,47.36457390696878,42.95310400849814,-42.95310400849814,57.6671261199173,-57.6671261199173
Data,B,lower,-82.49529443398764,82.49529443398764,-87.42514970059881,87.42514970059881,-87.42514970059881,87.42514970059881
BSS,B,lower,-84.29292841042128,84.29292841042128,-78.02237898321577,78.02237898321577,-77.46095893828269,77.46095893828269
Static SRAM,B,lower,-84.18323817024348,84.18323817024348,-79.07403806684383,79.07403806684383,-78.60062302542916,78.60062302542916
ELF size,B,lower,-15.38405598962121,15.38405598962121,-4.3508507591336985,4.3508507591336985,-3.4327874974518338,3.4327874974518338
AI weights,B,lower,,,,,,
AI activations,B,lower,,,,,,
MAC ops,MAC,lower,-5.138626027433074,5.138626027433074,-19.157490462992147,19.157490462992147,-5.4595386026802775,5.4595386026802775
MOPS/s,MOPS/s,higher,20276.147431706035,20276.147431706035,8113.6808666902925,8113.6808666902925,8349.608460599067,8349.608460599067
Current,mA,lower,71.88234302940235,-71.88234302940235,77.23998570000387,-77.23998570000387,73.25244864275955,-73.25244864275955
Power,W,lower,93.8916674417039,-93.8916674417039,99.93534972256542,-99.93534972256542,95.437213407991,-95.437213407991
Energy/inference,uJ,lower,-99.09733525255456,99.09733525255456,-98.0321520060172,98.0321520060172,-97.8133040819636,97.8133040819636
MAC/J,MAC/J,higher,10409.03718584626,10409.03718584626,4008.168404480634,4008.168404480634,4223.438874949484,4223.438874949484
